date,time,matchday,home_team,away_team,city,stadium,status,result
2026-08-28,18:30,1,Bayern München,VfB Stuttgart,Munich,Allianz Arena,Played,5-1
2026-08-29,13:30,1,FSV Mainz 05,SC Paderborn 07,Mainz,Mewa Arena,Played,0-0
2026-08-29,13:30,1,RB Leipzig,Borussia Mönchengladbach,Leipzig,Red Bull Arena,Played,3-0
2026-08-29,13:30,1,Union Berlin,Eintracht Frankfurt,Berlin,,Played,3-3
2026-08-29,13:30,1,1. FC Köln,1899 Hoffenheim,Cologne,RheinEnergieStadion,Played,3-2
2026-08-29,13:30,1,SV Elversberg,Bayer Leverkusen,Spiesen-Elversberg,Waldstadion Kaiserlinde,Played,3-2
2026-08-29,16:30,1,Borussia Dortmund,Hamburger SV,Dortmund,Signal Iduna Park,Played,2-0
2026-08-30,13:30,1,SC Freiburg,Werder Bremen,Freiburg,Europa-Park Stadion,Played,4-1
2026-08-30,15:30,1,FC Augsburg,FC Schalke 04,Augsburg,WWK Arena,Played,3-0
2026-09-04,18:30,2,VfB Stuttgart,1. FC Köln,Stuttgart,MHPArena,Played,4-1
2026-09-05,13:30,2,Werder Bremen,RB Leipzig,Bremen,Weserstadion,Played,3-1
2026-09-05,13:30,2,Borussia Mönchengladbach,SV Elversberg,Mönchengladbach,Borussia-Park,Played,3-4
2026-09-05,13:30,2,1899 Hoffenheim,Borussia Dortmund,Sinsheim,SNP Arena,Played,2-3
2026-09-05,13:30,2,Bayer Leverkusen,Union Berlin,Leverkusen,BayArena,Played,4-0
2026-09-05,13:30,2,SC Paderborn 07,SC Freiburg,Paderborn,Home Deluxe Arena,Played,0-1
2026-09-05,16:30,2,FC Schalke 04,Bayern München,Gelsenkirchen,Veltins Arena,Played,0-0
2026-09-06,13:30,2,Hamburger SV,FSV Mainz 05,Hamburg,Volksparkstadion,Played,0-5
2026-09-06,15:30,2,Eintracht Frankfurt,FC Augsburg,Frankfurt,Deutsche Bank Park,Played,1-4
2026-09-11,18:30,3,Union Berlin,FC Schalke 04,Berlin,,To be played,
2026-09-12,13:30,3,SC Freiburg,Borussia Mönchengladbach,Freiburg,Europa-Park Stadion,To be played,
2026-09-12,13:30,3,FSV Mainz 05,Eintracht Frankfurt,Mainz,Mewa Arena,To be played,
2026-09-12,13:30,3,Borussia Dortmund,SC Paderborn 07,Dortmund,Signal Iduna Park,To be played,
2026-09-12,13:30,3,1899 Hoffenheim,VfB Stuttgart,Sinsheim,SNP Arena,To be played,
2026-09-12,13:30,3,FC Augsburg,Bayer Leverkusen,Augsburg,WWK Arena,To be played,
2026-09-12,16:30,3,1. FC Köln,Werder Bremen,Cologne,RheinEnergieStadion,To be played,
2026-09-13,13:30,3,RB Leipzig,Hamburger SV,Leipzig,Red Bull Arena,To be played,
2026-09-13,15:30,3,SV Elversberg,Bayern München,Spiesen-Elversberg,Waldstadion Kaiserlinde,To be played,
2026-09-18,18:30,4,Bayern München,Union Berlin,Munich,Allianz Arena,To be played,
